,SK_ID_CURR,CREDIT_ACTIVE,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE
4,215354,Active,-629,0,1197.0,,0,2700000.0,,,0.0,Consumer credit,-21
5,215354,Active,-273,0,27460.0,,0,180000.0,71017.38,108982.62,0.0,Credit card,-31
6,215354,Active,-43,0,79.0,,0,42103.8,42103.8,0.0,0.0,Consumer credit,-22
9,162297,Active,-1146,0,-484.0,,0,4500.0,0.0,0.0,0.0,Credit card,-690
13,402440,Active,-96,0,269.0,,0,89910.0,76905.0,0.0,0.0,Consumer credit,-22
15,238881,Closed,-2911,0,-2607.0,-2604.0,0,48555.0,,,0.0,Consumer credit,-2601
16,238881,Closed,-2148,0,-1595.0,-987.0,0,135000.0,,,0.0,Consumer credit,-984
17,238881,Active,-381,0,,,0,450000.0,520920.0,,0.0,Consumer credit,-4
18,238881,Active,-95,0,1720.0,,0,67500.0,8131.5,,0.0,Credit card,-7
19,238881,Closed,-444,0,-77.0,-77.0,0,107184.06,0.0,0.0,0.0,Consumer credit,-71
24,222183,Closed,-2744,0,-2561.0,-2559.0,0,18157.5,,,0.0,Consumer credit,-2559
28,426155,Closed,-2534,0,-2352.0,-2347.0,0,38830.5,0.0,0.0,0.0,Consumer credit,-2345
29,426155,Closed,-845,0,-480.0,-480.0,0,67500.0,0.0,0.0,0.0,Consumer credit,-480
34,400486,Active,-941,0,-17.0,,0,40500.0,0.0,0.0,0.0,Credit card,-15
35,400486,Closed,-1110,0,-745.0,-727.0,0,114727.5,0.0,0.0,0.0,Consumer credit,-658
36,400486,Closed,-2133,0,-1038.0,-1127.0,0,225000.0,0.0,0.0,0.0,Consumer credit,-708
38,435112,Closed,-1412,0,-861.0,-849.0,0,85288.5,0.0,0.0,0.0,Consumer credit,-753
42,435112,Closed,-1411,0,-861.0,-861.0,0,85293.0,0.0,,0.0,Consumer credit,-855
43,435112,Active,-1483,0,,,0,200250.0,0.0,,0.0,Credit card,-848
44,435112,Closed,-1589,0,-1344.0,-1292.0,0,100129.5,0.0,0.0,0.0,Consumer credit,-736
46,435112,Closed,-739,0,-525.0,-525.0,0,48645.0,0.0,0.0,0.0,Consumer credit,-519
47,435112,Active,-508,0,1318.0,,0,1058823.54,858768.57,0.0,0.0,Consumer credit,-7
49,452585,Closed,-2642,0,-2307.0,-2332.0,0,15921.0,0.0,0.0,0.0,Consumer credit,-2306
53,389599,Closed,-672,0,10285.0,-531.0,0,135000.0,0.0,0.0,0.0,Credit card,-429
55,389599,Closed,-1253,0,-887.0,-887.0,0,43105.5,0.0,0.0,0.0,Consumer credit,-687
59,389599,Closed,-700,0,-600.0,-600.0,0,68715.0,0.0,0.0,0.0,Consumer credit,-596
66,242993,Closed,-1201,0,-1081.0,-987.0,0,157500.0,,,0.0,Consumer credit,-984
71,242993,Active,-382,0,1464.0,,0,58500.0,59809.5,,0.0,Credit card,-341
72,242993,Closed,-865,0,-742.0,-833.0,0,29250.0,0.0,0.0,0.0,Consumer credit,-833
73,303740,Closed,-1423,0,-1119.0,-1118.0,0,79744.5,0.0,0.0,0.0,Consumer credit,-1118
76,303740,Closed,-433,0,-320.0,-320.0,0,67500.0,0.0,0.0,0.0,Consumer credit,-316
79,234931,Closed,-1273,0,-667.0,-649.0,0,135000.0,,,0.0,Consumer credit,-643
82,234931,Closed,-1495,0,-635.0,-40.0,0,46831.5,,,0.0,Consumer credit,-34
86,119939,Closed,-2247,0,-1123.0,-1733.0,0,135000.0,0.0,0.0,0.0,Credit card,-1733
93,119939,Closed,-944,0,335.0,-548.0,0,1215000.0,0.0,0.0,0.0,Consumer credit,-513
95,119939,Closed,-1572,0,-1179.0,-987.0,0,225000.0,,,0.0,Consumer credit,-984
96,119939,Closed,-1791,0,-1703.0,-987.0,0,22770.0,,,0.0,Consumer credit,-984
97,119939,Active,-2401,0,,,0,99000.0,45036.0,53962.695,0.0,Credit card,-22
100,119939,Closed,-937,0,889.0,-156.0,0,675000.0,,,0.0,Consumer credit,-156
101,119939,Active,-314,0,1512.0,,0,900000.0,,,0.0,Consumer credit,-40
102,388421,Active,-685,0,410.0,,0,135000.0,0.0,135000.0,0.0,Credit card,-236
103,388421,Closed,-325,0,223.0,-112.0,0,87286.5,0.0,0.0,0.0,Consumer credit,-106
104,388421,Active,-674,0,1152.0,,0,868500.0,662139.0,0.0,0.0,Consumer credit,-25
105,388421,Active,-378,0,1449.0,,0,991800.0,,,0.0,Consumer credit,-31
108,419892,Active,-381,0,,,0,2767500.0,2739622.5,,0.0,Mortgage,-27
112,387080,Closed,-1766,0,-1219.0,-1256.0,0,135000.0,0.0,0.0,0.0,Consumer credit,-1252
113,387080,Active,-1082,0,745.0,,0,197820.0,105840.0,0.0,0.0,Consumer credit,-10
115,387080,Active,-681,0,1145.0,,0,328500.0,244791.0,0.0,0.0,Consumer credit,-10
116,387080,Closed,-2897,0,-2350.0,-2357.0,0,67500.0,,,0.0,Consumer credit,-2357
117,387080,Closed,-1603,0,-1299.0,-1087.0,0,70335.0,0.0,,0.0,Consumer credit,-1087
119,387080,Active,-69,0,263.0,,0,84361.5,,,0.0,Consumer credit,-6
122,387080,Closed,-388,0,-21.0,-84.0,0,98446.5,0.0,0.0,0.0,Consumer credit,-84
124,293201,Closed,-2730,0,-2454.0,-2514.0,0,14058.0,0.0,0.0,0.0,Consumer credit,-2514
126,293201,Closed,-2255,0,-1982.0,-1987.0,0,46033.92,0.0,0.0,0.0,Consumer credit,-1981
133,338464,Active,-857,0,765.0,,0,45000.0,38294.37,6705.63,0.0,Credit card,-675
139,444864,Closed,-1125,0,-881.0,-881.0,0,82795.5,0.0,0.0,0.0,Consumer credit,-752
